№;Период;ID;Название;Отрасль;Стоимость;Предпосылки;Описание;Открывает
85;V. Поздняя империя (212–476 н. э.);counterweight_engines;Онагр с пращевым рычагом;Осадная техника и артиллерия;228;cheiroballistra, alexandrian_mechanics;"Один мощный торсионный пучок и праща метают тяжёлый камень по высокой дуге; технический ID сохранён ради совместимости.";артиллерия: Кампанские онагры | здание: Парк онагров
86;V. Поздняя империя (212–476 н. э.);imperial_academies;Императорские школы права и администрации;Наука, образование и медицина;231;latin_libraries, jurists_chancery;Государственно поддерживаемые центры обучают юристов, врачей, риторов и чиновников по устойчивой программе.;здание: Академия | здание: Инженерная школа | здание: Медицинская школа | чудо света: Александрийская библиотека | чудо света: Атеней Адриана | чудо света: Мусейон Александрии
87;V. Поздняя империя (212–476 н. э.);late_roman_dromon;Дромон позднеримского типа;Флот, кораблестроение и навигация;234;lighthouse_network, naval_artillery;Узкий быстроходный корпус, одна палуба гребцов, парус и усиленная морская пехота создают гибкий боевой корабль.;отряд: Морская пехота дромонов | эскадра: Крыло позднеримских дромонов
88;V. Поздняя империя (212–476 н. э.);limitanei_defense;Пограничные войска limitanei;Кавалерия, ауксилии и граница;237;frontier_limes, cataphractarii;Постоянные местные части гарнизонируют цепь фортов, контролируют дороги и задерживают вторжения до подхода резерва.;отряд: Пограничные limitanei | здание: Башня лимеса | здание: Сигнальный маяк | чудо света: Германский лимес
89;V. Поздняя империя (212–476 н. э.);universal_citizenship;Constitutio Antoniniana;Право и государственное управление;236;jurists_chancery, capitatio_iugatio;Почти все свободные жители империи получают римское гражданство и входят в единое поле частного права и налогов.;чудо света: Таблицы гражданства Каракаллы
90;V. Поздняя империя (212–476 н. э.);water_powered_sawmills;Вододействующие пилорамы;Дороги, вода и строительство;239;water_mills, alexandrian_mechanics;Кривошипно-шатунный механизм превращает вращение водяного колеса в возвратно-поступательное движение пил.;здание: Лесопилка | ресурсный эффект: +22% заготовки древесины
91;V. Поздняя империя (212–476 н. э.);great_building_program;Позднеимперские строительные корпорации;Дороги, вода и строительство;242;monument_commissions, water_powered_sawmills;Государство закрепляет мастеров, поставки и повинности за крупными крепостными, дворцовыми и церковными проектами.;здание: Амфитеатр | здание: Колизей | здание: Судоходный канал | здание: Царица дорог | здание: Цирк | чудо света: Арка Константина | чудо света: Большой цирк | чудо света: Колизей
92;V. Поздняя империя (212–476 н. э.);jurists_chancery;Канцелярия императорских конституций;Право и государственное управление;245;provincial_archives, provincial_law;Рескрипты, указы и правовые заключения систематизируются, копируются и рассылаются как обязательные нормы.;здание: Имперский архив | здание: Кафедра епископа | здание: Школа права | чудо света: Базилика Ульпия | чудо света: Преторская канцелярия | чудо света: Таблицы гражданства Каракаллы
93;V. Поздняя империя (212–476 н. э.);imperial_cult;Сакральная императорская монархия;Религия, городское общество и идеология;244;monument_commissions, universal_citizenship;Дворцовый церемониал, изображения власти и государственный ритуал подчёркивают сверхобычный статус императора.;здание: Митреум | здание: Странноприимный дом | здание: Храм божественного Августа | чудо света: Алтарь Мира | чудо света: Арка Константина | чудо света: Палатинский дворец | чудо света: Храм Венеры Прародительницы | чудо света: Храм Марса Мстителя
94;V. Поздняя империя (212–476 н. э.);provincial_archives;Провинциальные реестры и кодексы;Право и государственное управление;247;imperial_couriers, governor_audits;Налоговые, судебные, кадровые и земельные записи сводятся в долговечные книги и регулярно обновляются.;здание: Имперский архив | здание: Табуларий | чудо света: Имперские архивы | чудо света: Имперский скрипторий | чудо света: Преторская канцелярия | чудо света: Табуларий
95;V. Поздняя империя (212–476 н. э.);grain_fleet;Государственные флоты annona;Флот, кораблестроение и навигация;250;fleet_bases, capitatio_iugatio;Зерновозы, контракты судовладельцев, охраняемые маршруты и распределительные порты образуют постоянную систему снабжения.;эскадра: Annona — зерновой конвой | здание: Причал хлебного флота | чудо света: Египетские зернохранилища
96;V. Поздняя империя (212–476 н. э.);monument_commissions;Императорские строительные комиссии;Религия, городское общество и идеология;253;monumental_domical_vaulting, imperial_treasury;Архитекторы, procuratores, сметы и поставки материалов централизованно направляются на общественные сооружения.;здание: Колизей | здание: Мавзолей | здание: Статуи на форуме | здание: Триумфальная арка | чудо света: Амфитеатр Помпей | чудо света: Висячие сады | чудо света: Колизей | чудо света: Колонна Траяна
97;V. Поздняя империя (212–476 н. э.);lighthouse_network;Береговая сигнальная сеть;Флот, кораблестроение и навигация;252;fleet_bases, imperial_couriers;Маяки, огневые посты и наблюдательные башни передают предупреждения вдоль побережья и к военно-морским базам.;здание: Александрийский маяк | здание: Маяк | здание: Сигнальный маяк | чудо света: Великий маяк Александрии
98;V. Поздняя империя (212–476 н. э.);imperial_couriers;Императорская почтовая разведка;Право и государственное управление;255;urban_prefecture, military_roads;Государственная почта и школа agentes in rebus объединяются: курьеры перевозят приказы, проверяют станции и передают двору сведения из провинций.;здание: Дорожная станция | здание: Подстава лошадей | здание: Пост фрументариев | чудо света: Сеть мильных камней | чудо света: Станции cursus publicus
99;V. Поздняя империя (212–476 н. э.);grain_contracts;Государственные оружейные фабрики (Fabricae);Осадная техника и артиллерия;258;iron_armories, imperial_treasury;Позднеимперские fabricae под управлением магистра оффиций централизуют выпуск щитов, панцирей, клинков, копий и деталей метательных машин.;здание: Арсенал | здание: Легионная мастерская | здание: Машинная мастерская | артиллерия: Галльские тяжёлые болтомёты | артиллерия: Сирийские баллисты | ресурсный эффект: +10% мощности обработки железа и стали
100;V. Поздняя империя (212–476 н. э.);ballista_corps;Военная инженерия;Осадная техника и артиллерия;261;counterweight_engines, grain_contracts, comitatenses_field_army;Военные инженеры сводят фортификацию, мосты, дороги, осадные машины, артиллерию и снабжение в единую профессиональную службу.;отряд: Fabri legionis | здание: Инженерная школа | здание: Осадная мастерская | здание: Баллистный двор | здание: Морской арт. двор
